"id","iata","icao","name"
1411,BS,BIH,British International Helicopters
1422,PG,BKP,Bangkok Airways
1427,KF,BLF,Blue1
1434,JV,BLS,Bearskin Lake Air Service
1436,B3,BLV,Bellview Airlines
1437,BD,BMA,bmi
1441,WW,BMI,bmibaby
1442,CH,BMJ,Bemidji Airlines
1463,BV,BPA,Blue Panorama Airlines
1472,"8E",BRG,Bering Air
1478,B2,BRU,Belavia Belarusian Airlines
1500,"7P",BTV,Metro Batavia
1508,J8,BVT,Berjaya Air
1510,QW,BWG,Blue Wings
1523,DB,BZH,Brit Air
1531,SN,DAT,Brussels Airlines
1539,NT,IBB,Binter Canarias
1542,"0B",JOR,Blue Air
1543,KJ,LAJ,British Mediterranean Airways
1548,FB,LZB,Bulgaria Air
1550,"8N",NKF,Barents AirLink
1581,"5C",ICL,CAL Cargo Air Lines
1607,XG,CLI,Calima Aviacion
1615,CP,CDN,Canadian Airlines
1623,"5T",MPE,Canadian North
1629,"9K",KAP,Cape Air
1663,BW,BWA,Caribbean Airlines
1669,V3,KRP,Carpatair
1675,RV,CPN,Caspian Airlines
1680,CX,CPA,Cathay Pacific
1682,KX,CAY,Cayman Airways
1683,"5J",CEB,Cebu Pacific
1708,C0,CLW,Centralwings
1739,RP,CHQ,Chautauqua Airlines
1756,CI,CAL,China Airlines
1758,MU,CES,China Eastern Airlines
1767,CZ,CSN,China Southern Airlines
1769,HR,CUA,China United Airlines
1771,"3Q",CYH,Yunnan Airlines
1781,QI,CIM,Cimber Air
1784,C9,RUS,Cirrus Airlines
1789,CF,SDR,City Airline
1790,G3,CIX,City Connexion Airlines
1792,WX,BCY,CityJet
1795,CJ,CFE,BA CityFlyer
1814,DQ,"",Coastal Air
1821,"9L",CJC,Colgan Air
1828,OH,COM,Comair
1829,MN,CAW,Comair
1843,C5,UCA,CommutAir
1844,KR,CWK,Comores Airlines
1860,CP,CPZ,Compass Airlines
1868,DE,CFG,Condor Flugdienst
1876,"6A",CHP,Consorcio Aviaxsa
1879,C3,KIS,Contact Air
1881,CO,COA,Continental Airlines
1883,CO,"",Continental Express
1884,CS,CMI,Continental Micronesia
1886,V0,VCV,Conviasa
1889,CM,CMP,Copa Airlines
1908,SS,CRL,Corsairfly
1909,XK,CCM,Corse-Mediterranee
1925,OU,CTN,Croatia Airlines
1936,CU,CUB,Cubana de Aviación
1942,CY,CYP,Cyprus Airways
1943,YK,"",Cyprus Turkish Airlines
1946,OK,CSA,Czech Airlines
1954,DX,DTR,DAT Danish Air Transport
1966,D3,DAO,Daallo Airlines
1973,H8,KHB,Dalavia
1983,"0D",DWT,Darwin Airline
2009,DL,DAL,Delta Air Lines
2021,"2A","",Deutsche Bahn
2041,D8,DJB,Djibouti Airlines
2047,DO,DOA,Dominicana de Aviaci
2048,E3,DMO,Domodedovo Airlines
2051,"5D",UDC,DonbassAero
2056,KA,HDA,Dragonair
2058,KB,DRK,Druk Air
2077,DI,BAG,dba
2091,BR,EVA,EVA Air
2094,H7,"",Eagle Air
2104,QU,UGX,East African
2117,T3,EZE,Eastern Airways
2125,DK,ELA,Eastland Air
2138,WK,EDW,Edelweiss Air
2143,MS,MSR,Egyptair
2150,LY,ELY,El Al Israel Airlines
2155,UZ,BRQ,El-Buraq Air Transport
2183,EK,UAE,Emirates
2193,EU,EEA,Empresa Ecuatoriana De Aviacion
2213,B8,ERT,Eritrean Airlines
2218,OV,ELL,Estonian Air
2220,ET,ETH,Ethiopian Airlines
2222,EY,ETD,Etihad Airways
2226,RZ,"",Euro Exec Express
2237,UI,ECA,Eurocypria Airlines
2239,GJ,EEU,Eurofly Service
2245,K2,ELO,Eurolot
2251,EA,EAL,European Air Express
2260,EW,EWG,Eurowings
2261,EZ,EIA,Evergreen International Airlines
2264,JN,XLA,Excel Airways
2293,EO,LHN,Express One International
2295,XE,BTA,ExpressJet
2297,U2,EZY,easyJet
