"id","iata","icao","name"
12975,OQ,CQN,Chongqing Airlines
12978,PN,CHB,West Air China
12997,C3,QAX,QatXpress
13076,"1C","1CH",OneChina
13088,Y7,N,NordStar Airlines
13089,JR,JOY,Joy Air
13105,CD,N,Air India Regional
13106,"9H",N,MDLR Airlines
13108,Q2,N,Maldivian
13130,XN,N,Xpressair
13178,VC,N,Strategic Airlines
13190,NA,N,Al-Naser Airlines
13200,JH,N,Fuji Dream Airlines
13218,"5E",N,SGA Airlines
13242,F8,N,Air2there
13254,AO,N,Avianova (Russia)
13303,PA,IPV,Parmiss Airlines (IPV)
13304,ES,EUV,EuropeSky
13306,GB,BZE,BRAZIL AIR
13335,MR,OME,Homer Air
13391,-+,--+,U.S. Air
13394,','\,Jayrow
13397,;;,N,Wilderness Air
13398,^^,N,Whitaker Air
13633,WQ,PQW,PanAm World Airways
13690,YY,VWA,Virginwings
13704,KY,KSY,KSY
13732,BQ,BQB,Buquebus Líneas Aéreas
13734,CQ,KOL,SOCHI AIR
13757,WU,WAU,Wizz Air Ukraine
13781,"47",VVN,"88"
13815,LQ,LMM,LCM AIRLINES
13899,K6,N,Cambodia Angkor Air (K6)
13936,"69",N,Royal European Airlines
13947,&T,T&O,Tom\'s & co airliners
13983,AD,AZU,Azul
14061,PQ,LOO,LSM Airlines
14094,C4,LIX,LionXpress
14118,GK,N,Genesis
14388,XZ,N,Congo Express
14485,FZ,FDB,Fly Dubai
14620,D1,MDO,Domenican Airlines
14849,JY,AXZ,Aereonautica militare
14881,YZ,YZZ,LSM AIRLINES 
15814,UR,N,UTair-Express
15837,G5,N,Huaxia
15867,ZP,ZZZ,Zabaykalskii Airlines
15893,M4,"1QA",Marysya Airlines
15897,N1,N,N1
15930,"4Z",N,Airlink (SAA)
15953,"3B",N,JobAir
15975,BZ,BSA,Black Stallion Airways
15984,GM,GER,German International Air Lines
15985,TB,TBZ,TrasBrasil
15989,TH,THS,TransBrasil Airlines
15999,"9C",N,China SSS
16103,P8,MKG,Air Mekong
16110,H3,N,Harbour Air (Priv)
16116,HH,AHO,Air Hamburg (AHO)
16120,Z6,ZTT,ZABAIKAL AIRLINES
16127,TI,THI,TransHolding
16133,YT,N,Yeti Airways
16135,Y1,N,Yellowstone Club Private Shuttle
16136,NS,N,Caucasus Airlines
16139,S1,SA1,Serbian Airlines
16149,WM,N,Windward Islands Airways
16150,YO,TYS,TransHolding System
16151,CB,CCC,CCML Airlines
16234,F1,FBL,Fly Brasil
16261,"1F",CIF,CB Airways UK ( Interliging Flights )
16262,"3F","3FF",Fly Colombia ( Interliging Flights )
16264,T6,TP6,Trans Pas Air
16273,МИ,N,KMV
16323,HC,HYM,Himalayan Airlines
16327,G1,IG1,Indya Airline Group
16329,WG,N,Sunwing
16359,ZX,ZXY,Japan Regio
16363,N0,N,Norte Lineas Aereas
16364,W7,N,Austral Brasil
16373,H9,N,PEGASUS AIRLINES-
16415,QC,N,Camair-co
16459,RS,SKV,Sky Regional
16507,II,UWW,LSM International 
16508,BU,BUU,Baikotovitchestrian Airlines 
16511,L4,LJJ,Luchsh Airlines 
16585,"6U",N,Air Cargo Germany
16615,"7M",ZTF,Mongolian International Air Lines 
16624,TW,TWB,Tway Airlines
16625,HI,N,Papillon Grand Canyon Helicopters
16628,JX,JSR,Jusur airways
16645,XB,NXB,NEXT Brasil
16660,W4,WER,AeroWorld 
16695,GN,N,GNB Linhas Aereas
16702,E1,ES2,Usa Sky Cargo
16707,HN,HNX,Hankook Airline
16717,Z7,N,REDjet
16720,PT,N,Red Jet Andes
16721,QY,N,Red Jet Canada
16724,"4X",N,Red Jet Mexico
16725,Y8,MRS,Marusya Airways
16726,"7H",ERR,Era Alaska
16728,R8,RRJ,AirRussia
16735,H1,HA1,Hankook Air US
16796,H5,RSY,I-Fly
16837,KT,VKJ,VickJet
16844,XV,N,BVI Airways
16860,SO,SLC,Salsa d\'Haiti
16867,ZJ,N,Zambezi Airlines (ZMA)
16882,YQ,N,Polet Airlines (Priv)
16901,"12",N12,"12 North"
16942,L6,MAI,Mauritania Airlines International
16956,"6F",MKD,MAT Airways
16960,AW,AWM,Asian Wings Airways
16963,E5,RBG,Air Arabia Egypt
16975,CT,N,Alitalia Cityliner
17022,OI,ORC,Orchid Airlines
17023,Y5,AWA,Asia Wings
17082,XR,N,Skywest Australia
17083,NP,NIA,Nile Air
17094,DN,SGG,Senegal Airlines
17095,"6I",N,Fly 6ix
17099,S9,N,Starbow Airlines
17115,"0X",CX0,Copenhagen Express
17408,"8B",BCC,BusinessAir
17519,YR,N,SENIC AIRLINES
17571,C7,CR7,Sky Wing Pacific
17574,PP,AI0,Air Indus
17675,MM,N,Peach Aviation
17750,U1,ABI,Aviabus
17780,DF,MJG,Michael Airlines
17786,ZC,KGO,Korongo Airlines
17794,I5,IDS,Indonesia Sky
17841,B0,"666",Aws express
17859,"76",SJS,Southjet
17860,"77",ZCS,Southjet connect
17862,"78",XAN,Southjet cargo
17881,I2,IBS,Iberia Express
17885,"4O",N,Interjet (ABC Aerolineas)
17889,OG,N,AirOnix
17890,NJ,NGB,Nordic Global Airlines
17891,TZ,SCO,Scoot
17909,"5K",N,Hi Fly (5K)
17911,WH,N,China Northwest Airlines (WH)
17935,ZN,ZNA,Zenith International Airline
17936,O1,OAB,Orbit Airlines Azerbaijan
17989,A6,N,Air Alps Aviation (A6)
18169,P4,N,Patriot Airways
18178,V2,RBY,Vision Airlines (V2)
18232,"5Q",N,BQB Lineas Aereas
18239,YE,YEL,Yellowtail
18241,KG,RAW,Royal Airways
18252,FH,FHI,FlyHigh Airlines Ireland (FH)
18477,"2D",N,Aero VIP (2D)
18497,YH,N,Yangon Airways Ltd.
18529,TJ,TJA,T.J. Air
18543,SX,N,SkyWork Airlines 
18553,W2,N,Maastricht Airlines
18617,"24",N,Euro Jet
18700,Q3,QER,SOCHI AIR CHATER
18702,J7,N,Denim Air 
18732,OD,MXD,Malindo Air
18825,Z9,N,Flightlink Tanzania
18828,I8,N,IzAvia
18930,M1,M1F,Maryland Air
18944,"7I",N,Insel Air (7I/INC) (Priv)
18946,"5Z",VVC,VivaColombia
19016,ZM,IWA,Apache Air
19026,M2,N,MHS Aviation GmbH
19030,NR,JTO,Jettor Airlines
19225,SL,N,Thai Lion Air
19287,N8,NCR,National Air Cargo
19290,"13",EAV,Eastern Atlantic Virtual Airlines
19305,QG,N,Citilink Indonesia
19361,S8,SBD,Snowbird Airlines
19367,KH,KHK,Kharkiv Airlines
19433,XA,XAU,XAIR USA
19451,LB,N,Air Costa
19473,XP,XPT,XPTO
19541,"3W",N,Malawian Airlines
19567,..,...,Avilu
19582,JU,ASL,Air Serbia
19610,LT,LTU,Air Lituanica
19674,RN,RAB,Rainbow Air (RAI)
19675,RY,RAY,Rainbow Air Canada
19676,RX,RPO,Rainbow Air Polynesia
19677,RU,RUE,Rainbow Air Euro
19678,RM,RNY,Rainbow Air US
19751,QD,DOB,Dobrolet
19774,S0,SAL,Spike Airlines
19803,L1,AL1,All Argentina
19804,A2,AL2,All America
19805,L9,AL3,All Asia
19806,"9A","99F",All Africa
19807,N4,J88,Regionalia México
19808,N9,N99,All Europe
19809,N7,N77,All Spain
19810,"9N",N78,Regional Air Iceland
19812,"8K",K88,Voestar
19813,"7O","7KK",All Colombia
19814,"2X","2K2",Regionalia Uruguay
19815,"9X","9XX",Regionalia Venezuela
19827,"9J",CR1,Regionalia Chile
19828,"6C","6CC",Vuela Cuba
19830,"88","8K8",All Australia
19831,ER,RWW,Fly Europa
19834,PO,FPT,FlyPortugal
19886,IJ,SJO,Spring Airlines Japan
19890,KP,DWA,Dense Airways
19891,KZ,DC2,Dense Connection
19908,"4S",VI4,Vuola Italia
19927,"1X",N,Island Express Air
19928,Z0,Z9H,All Argentina Express
19930,WE,N,Thai Smile Airways
19944,I4,N,International AirLink
19963,RT,N,Real Tonga
19970,"2R",M7A,All America AR
19971,"1R",R1R,All America CL
19974,Q4,SAE,SOCHI AIR EXPRESS
19977,"1Y",A9B,All America BR
20004,"9V",VC9,Volotea Costa Rica
20017,X5,OTJ,Fly Romania
20047,E2,N,Eagle Atlantic Airlines
20073,"0Y","7ZC",All America CO
20074,"0M","0MM",All America MX
20110,FX,FOX,FOX Linhas Aereas
20127,QP,N,Air Kenya (Priv)
20144,"6V",CZV,Via Conectia Airlines
20160,E8,GTA,City Airways
20170,DU,NLH,Norwegian Long Haul AS
20207,M8,TNU,TransNusa Air
20218,ZT,T9P,Tomp Airlines
20222,J1,N,OneJet
20224,"0G",GA0,Global Airlines
20264,UK,VTI,Air Vistara
20268,"1E",RGG,TransRussiaAirlines
20270,D2,N,Severstal Air Company
20282,RR,RXR,REXAIR VIRTUEL
20285,WR,WEN,WestJet Encore
20286,OP,PPL,Air Pegasus
20288,"9I",INE,International Europe
20401,ZV,VAX,V Air
20565,"4B",BTQ,Boutique Air (Priv)
20577,V7,VOE,VOLOTEA Airways
20599,Z5,IIR,INAVIA Internacional
20607,LE,LTY,Liberty Airways
20608,АЯ,N,Аэросервис
20657,"5B",BSX,Bassaka airlines
20686,Q7,N,SkyBahamas Airlines
20695,UW,N,UVT Aero
20710,"3M",N,Silver Airways (3M)
20752,I3,N,ATA Airlines (Iran)
20769,V1,VIA,VIA Líneas Aéreas
20802,GX,GXG,GermanXL
20827,FF,FRF,Fly France
20881,EX,EU9,Europe Jet
20976,W3,WSS,World Scale Airlines
20978,AG,SSA,All America US
20995,"1K",BG1,BudgetAir
21012,F5,FI5,Fly One
21021,EE,N,Nordica
21131,"0P",PYB,All America BOPY
21268,JG,N,Jetgo Australia
21270,"2S",N,Air Carnival
21317,"7R",SJM,Svyaz Rossiya
